"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,400,637","100"
"2","www.google.com","11,945,391","100"
"3","apple.com","4,499,851","100"
"4","docs.google.com","2,202,361","99"
"5","www.blogger.com","24,919,762","99"
"6","support.google.com","4,477,832","99"
"7","play.google.com","2,308,976","99"
"8","microsoft.com","4,141,018","99"
"9","adobe.com","2,912,781","98"
"10","maps.google.com","4,467,215","98"
"11","en.wikipedia.org","5,450,375","98"
"12","linkedin.com","8,622,935","98"
"13","cloudflare.com","4,977,507","98"
"14","plus.google.com","12,427,720","98"
"15","wordpress.org","9,592,796","98"
"16","accounts.google.com","2,528,847","97"
"17","youtu.be","3,769,913","97"
"18","googleusercontent.com","2,148,594","97"
"19","drive.google.com","1,703,603","97"
"20","europa.eu","1,659,986","97"
"21","sites.google.com","1,650,396","97"
"22","mozilla.org","1,913,727","97"
"23","vimeo.com","3,110,389","97"
"24","github.com","1,948,720","96"
"25","vk.com","1,599,867","96"
"26","amazon.com","3,992,034","96"
"27","medium.com","1,088,330","96"
"28","cnn.com","1,216,994","96"
"29","facebook.com","45,104,390","96"
"30","bbc.co.uk","1,419,591","96"
"31","creativecommons.org","1,535,321","96"
"32","bp.blogspot.com","15,829,509","96"
"33","istockphoto.com","3,060,935","96"
"34","google.de","1,095,551","95"
"35","google.co.jp","632,496","95"
"36","washingtonpost.com","865,384","95"
"37","news.google.com","682,657","95"
"38","jimdofree.com","1,646,958","95"
"39","developers.google.com","879,918","95"
"40","networkadvertising.org","709,523","95"
"41","whatsapp.com","1,534,741","95"
"42","mail.google.com","429,634","95"
"43","t.me","468,036","95"
"44","w3.org","1,064,840","95"
"45","forbes.com","920,688","95"
"46","wikimedia.org","1,363,346","95"
"47","live.com","735,517","95"
"48","dropbox.com","928,831","95"
"49","policies.google.com","1,021,148","95"
"50","google.fr","384,581","95"
"51","nytimes.com","1,679,711","95"
"52","google.co.uk","545,946","95"
"53","hugedomains.com","5,171,456","95"
"54","line.me","558,247","95"
"55","es.wikipedia.org","773,454","95"
"56","google.com.br","266,259","95"
"57","bbc.com","649,537","95"
"58","photos.google.com","230,754","95"
"59","mail.ru","476,620","95"
"60","www.yahoo.com","921,471","95"
"61","globo.com","383,122","95"
"62","paypal.com","880,613","95"
"63","gstatic.com","583,249","95"
"64","imdb.com","1,238,739","95"
"65","google.es","413,188","95"
"66","dailymotion.com","1,074,084","95"
"67","myspace.com","1,280,104","95"
"68","theguardian.com","1,191,244","95"
"69","reuters.com","726,693","95"
"70","news.yahoo.com","573,486","95"
"71","nih.gov","1,028,570","95"
"72","slideshare.net","868,307","95"
"73","msn.com","997,120","95"
"74","pt.wikipedia.org","357,971","95"
"75","feedburner.com","1,751,577","95"
"76","uol.com.br","560,151","95"
"77","fr.wikipedia.org","529,483","95"
